Building a Recommendation System with Python Machine Learning & AI,LinkedIn Learning,,Jul-21
"Introduction to TensorFlow for AI, ML and Deep Learning",Coursera,deeplearning.ai,Jun-20
Structuring Machine Learning Projects,Coursera,deeplearning.ai,May-20
Python Data Structures,Coursera,University of Michigan,May-20
Data Visualization,Coursera,University of Illinois at Urbana Champaign,Jun-20
"Data Warehouse Concepts, Design and Data Integration",Coursera,University of Colorado,Jul-20
Java Programming: Solving Problems with Software,Coursera,Duke University,Aug-20
Neural Networks and Deep Learning,Coursera,deeplearning.ai,Apr-20
Machine Learning for All,Coursera,University of London,May-20
